text,claimant,publisherName,reviewTitle,textualRating,date,mergedTextualRating,month
"Freedom Convoy protesters in Ottawa, Ontario were arrested and released “in the middle of nowhere” because the arrests were “illegal.”",Facebook post,FactCheck.org,"More than 100 Protesters Arrested in Ottawa, Despite Claims in Facebook Video",False,2022-02-25 00:00:00,false,2022-02
Astronaut Buzz Aldrin admitted during a television appearance with Conan O'Brien that the 1969 moon landing was fake.,,Snopes,Did Buzz Aldrin Admit Moon Landing Was Faked?,False,2022-02-18 02:11:58,false,2022-02
"Russian President Vladimir Putin ""banned"" Rothschild-related banks from operating in the country.",Social media posts,FactCheck.org,"Rothschild & Co. Has Office in Russia, Contrary to Conspiracy Claim on Social Media",False,2022-02-28 00:00:00,false,2022-02
“scientists find virus contains tiny chunk of DNA that matches sequence patented by Moderna THREE YEARS before pandemic began”,Connor Boyd,Science Feedback,Short identical gene sequence in SARS-CoV-2 and a gene sequence patented by Moderna can be found in other organisms; not evidence that virus was engineered,Misleading,2022-02-23 00:00:00,false,2022-02
"COVID-19 vaccines are the first to be required, threatening ""livelihoods, work [and] school.""",Internet posts,FactCheck.org,U.S. COVID-19 Vaccines Follow Conventional Health Standards and Protocols,False,2022-02-01 00:00:00,false,2022-02
"U.S. President Grover Cleveland was featured on the $1,000 bill.",,Snopes.com,"Did US $1,000 Bill Feature President Grover Cleveland?",True,2022-02-12 02:00:59,true,2022-02
COVID-19 vaccine manufacturers have taken dramatic actions recently,Social media,USA Today,"Fact check: Post misleads on Pfizer, Moderna, Johnson & Johnson",Partly False,2022-02-15 00:00:00,false,2022-02
Most of the world's population is unvaccinated,Social media,USA Today,"Fact check: Most of the world is vaccinated against COVID-19, contrary to online claims",False,2022-02-03 00:00:00,false,2022-02
An image shows a Russian plane shot down by Ukraine,Social media user,USA Today,"Fact check: Image shows 2015 Russian air show, not downed plane in Ukraine",False,2022-02-24 00:00:00,false,2022-02
An image shows members of Dynamo Kyiv in military attire,Social media users,USA Today,Fact check: Dynamo Kyiv soccer team not pictured in viral photo,False,2022-02-27 00:00:00,false,2022-02
A video shows Russian jets flying over Kyiv,Social media users,USA Today,"Fact check: Video shows Russian military's Moscow flyover in 2020, not Ukraine in 2022",False,2022-02-24 00:00:00,false,2022-02
Says Bob Saget predicted his death.,Facebook post,PolitiFact,"No, Bob Saget didn’t predict his death",False,2022-02-02 00:00:00,false,2022-02
"“Johns Hopkins University confirms: You can be vaccinated with a PCR test, even without knowing”",Facebook post,PolitiFact,"No, you can’t be vaccinated against COVID-19 by a PCR test",False,2022-02-14 00:00:00,false,2022-02
An image shows aerial view of an anti-vaccine mandate protest in Australia,Social media user,USA Today,Fact check: Canberra anti-vaccine mandate protest not shown in photo,False,2022-02-14 00:00:00,false,2022-02
"A Walmart in Dickson City, Pennsylvania, ran out of food.",Viral image,PolitiFact,Pennsylvania Walmart didn’t run out of food,False,2022-02-05 00:00:00,false,2022-02
Video shows Russian attacks on Mariupol in Ukraine,Multiple Persons,AFP Fact Check,Old thunderstorm video falsely shared as 'footage of Russia attacking Ukrainian city',False,2022-02-24 00:00:00,false,2022-02
Positive and negative control swabs in Covid-19 test kits are used to fix test results,Multiple persons,AFP Fact Check,Misleading claims about Covid-19 test kits spread online in South Korea,Misleading,2022-02-14 00:00:00,false,2022-02
CNN reports Putin delays invasion until Biden sends weapons to Ukraine,Multiple sources,AFP Fact Check,Doctored CNN screenshot shared in posts about 'Putin delaying Russian invasion of Ukraine',False,2022-02-12 00:00:00,false,2022-02
"Ukrainian Deputy Prime Minister Mykhailo Fedorov wrote a letter to Meta CEO Mark Zuckerberg, calling for the company to block access to Facebook and Instagram in Russia.",,Snopes,Did One of Ukraine's Leaders Write a Letter to Mark Zuckerberg?,True,2022-02-28 00:50:13,true,2022-02
“The CDC failed to mention on their website the COVID-19 vaccines as one of the factors that can increase this risk [of blood clots].”,Internet posts,FactCheck.org,Post Misconstrues Public Health Awareness Campaigns About Blood Clots,Misleading,2022-02-19 00:00:00,false,2022-02
“Nevada ranks 50th in election integrity ratings.”,Jesse Haw,PolitiFact,Fact-checking a claim that Nevada ranks close to last on election integrity,Mostly False,2022-02-02 00:00:00,false,2022-02
Apple announced the development of a smart wedding ring called iRing in February 2022.,,Snopes,The Apple 'iRing' Smart Wedding Ring Is Concept Art Mixed with Satire,False,2022-02-08 00:38:00,false,2022-02
Video of Rakhi Sawant wearing a hijab to support protestors in Karnataka,Multiple persons,AFP Fact Check,Old video of Indian actress shared with claims she was 'supporting hijab ban protests',Misleading,2022-02-12 00:00:00,false,2022-02
“Joe Biden uses the ATF to illegally track your gun transactions.”,JD Vance,PolitiFact,JD Vance wrongly says ATF is illegally tracking gun sales,False,2022-02-07 00:00:00,false,2022-02
CNN tweeted a story about a former teacher dubbed the 'Kharkiv Kid Finder',Social media users,USA Today,Fact check: Fabricated CNN tweet about 'Kharkiv Kid Finder' spreads online,False,2022-02-28 00:00:00,false,2022-02
A video shows the Ukrainian Air Force shooting down a Russian jet,Social media users,USA Today,"Fact check: Fighter jet clip from video game, not Russian invasion of Ukraine",False,2022-02-25 00:00:00,false,2022-02
Photo shows Sikhs offering food to people affected by the Ukraine conflict,Multiple sources,AFP Fact Check,Old image of food truck in Canada shared in posts about Sikhs giving support in Ukraine,False,2022-02-26 00:00:00,false,2022-02
"“Putin has ordered his military to seek and destroy US-Deep State bio-labs"" in Ukraine.",Social media posts,FactCheck.org,Social Media Posts Misrepresent U.S.-Ukraine Threat Reduction Program,False,2022-02-26 00:00:00,false,2022-02
"“Under Greg Abbott’s leadership, Texas is putting taxpayer dollars into Chinese companies.”",Don Huffines,PolitiFact,"In primary for Texas governor, a misleading claim about Greg Abbott and investing tax money in China",Mostly False,2022-02-12 00:00:00,false,2022-02
Masks cause speech and language delays in small children,Multiple people,AFP Fact Check,Unproven claims of masks harming speech development spread online,Unproven,2022-02-11 00:00:00,false,2022-02
"Joe Biden ""has been secretly flying illegal immigrants into communities across the country in the middle of the night.""",Tyler Kistner,PolitiFact,Claims that Biden is ‘secretly’ flying immigrants into U.S. cities ignore key facts,Mostly False,2022-02-22 00:00:00,false,2022-02
Canadian 'Freedom Convoy' is larger than the country's army,Social media users,USA Today,Fact check: Canadian 'Freedom Convoy' protest didn't surpass size of country's army,False,2022-02-01 00:00:00,false,2022-02
Kendall Jenner edited a photo to look like she was holding a “Black Lives Matter” sign.,Viral image,PolitiFact,Kendall Jenner said she didn’t edit altered BLM photo,False,2022-02-08 00:00:00,false,2022-02
"Video shows crowd chanting ""BBM"" during Robredo's campaign rally",Multiple Persons,AFP Fact Check,Doctored video of Philippine president hopeful Leni Robredo surfaces as raucous campaign kicks off,False,2022-02-09 00:00:00,false,2022-02
Gun manufacturing is the only industry in America that is exempt from being sued.,,Snopes.com,Is Gun Manufacturing Only US Industry That's Exempt From Being Sued?,False,2022-02-04 05:34:00,false,2022-02
Eminem kneeled in protest of police brutality and in defiance of NFL orders not to during the Super Bowl halftime show in February 2022.,,Snopes,Did Eminem Kneel in Defiance at the Super Bowl?,Mixture,2022-02-14 01:43:46,false,2022-02
A photo shows a Russian jet going down in flames as it invaded Ukraine,Social media,USA Today,Fact check: Photo of Russian plane in flames not from Ukraine invasion,False,2022-02-24 00:00:00,false,2022-02
A video shows an explosion at the Ukraine international airport,Social media users,USA Today,Fact check: False claim that video shows explosion at Ukraine airport,False,2022-02-24 00:00:00,false,2022-02
"In 1963, Dutch businessman Alfred “Freddy” Heineken created a bottle that could also function as a brick to build houses in impoverished countries.",,Snopes.com,Did Alfred Heineken Invent Bottle To Function as a Brick To Build Houses?,True,2022-02-26 00:00:16,true,2022-02
"Rep. Alexandria Ocasio-Cortez said, “I don’t need truckers. I get my food from the grocery store.”",Viral image,PolitiFact,"No, this isn’t a real AOC quote about truckers",Pants on Fire,2022-02-05 00:00:00,false,2022-02
Albert Einstein was a member of the civil rights organization National Association for the Advancement of Colored People (NAACP).,,Snopes.com,Was Einstein a Member of the NAACP?,True,2022-02-08 05:30:12,true,2022-02
"“Teachers can only deduct up to $250 for school supplies on their taxes, but billionaires can write off the entire cost of a private jet.”",Melanie D'Arrigo,PolitiFact,Tax code offers write-offs for some private plane purchases,Mostly True,2022-02-06 00:00:00,true,2022-02
The Trudeau Foundation owns 40% of Acuitas Therapeutics,Social media,USA Today,Fact check: Trudeau Foundation doesn't own 40% of Acuitas Therapeutics,False,2022-02-19 00:00:00,false,2022-02
BLM protesters caused $2 billion worth of damage and faced no consequences,Social media,USA Today,Fact check: Thousands of Black Lives Matter protesters arrested in 2020,Partly False,2022-02-15 00:00:00,false,2022-02
"The Keystone XL pipeline ""would have produced 830,000 barrels of oil per day, more than enough to offset what we import from Russia.""",Jake LaTurner,PolitiFact,Keystone wouldn’t simply offset oil US imports from Russia,Half True,2022-02-25 00:00:00,false,2022-02
“Only 16% Of Canadians Would SUPPORT Trudeau After Trucker Protest!”,Facebook posts,PolitiFact,"Survey results about Trudeau, trucker protest mischaracterized",Mostly False,2022-02-15 00:00:00,false,2022-02
An image shows “a medical oddity that is characterized by having two pupils in each eyeball.”,Viral image,PolitiFact,This isn’t an authentic image of an eye condition,False,2022-02-15 00:00:00,false,2022-02
Highly infectious HIV 'VB' variant makes people ill twice as quickly,Emily Craig,Science Feedback,"A new, highly virulent HIV variant named VB variant was indeed identified in the Netherlands",Accurate,2022-02-03 00:00:00,true,2022-02
