text,claimant,publisherName,reviewTitle,textualRating,date,mergedTextualRating,month
Cyclists on either side of a vehicle have priority when cars are turning.,Facebook user,Full Fact,Highway Code changes infographic needs context – Full Fact,Correct.,2022-01-24 00:00:00,true,2022-01
Dispensers sell bullets 'by the pound' at an Idaho grocery store,Social media users,USA Today,"Fact check: Image of 'by the pound' ammunition dispensers from Texas gun range, not Idaho grocer",False,2022-01-23 00:00:00,false,2022-01
"Commenting ""Gg"" can verify whether one's Facebook account is safe",Multiple Sources,AFP Fact Check,Posts share false 'tip' for verifying Facebook account security,False,2022-01-26 00:00:00,false,2022-01
“Worldwide Data suggests Fully Vaccinated [people] are developing Acquired Immunodeficiency Syndrome”,Anonymous,Science Feedback,The COVID-19 vaccines protect people from severe COVID-19 and don’t weaken the immune system,Incorrect,2022-01-22 00:00:00,false,2022-01
“Data from around the world suggests that omicron favors the fully vaccinated.”,Bloggers,PolitiFact,"No, omicron does not favor the vaccinated",False,2022-01-04 00:00:00,false,2022-01
Archaeologists made a discovery inside a Roman toilet.,,Snopes,Did Archaeologists Make a Discovery Inside a Roman Toilet?,Mostly True,2022-01-01 00:00:00,true,2022-01
“COVID-19 shots are not vaccines” because they don’t “prevent one from becoming infected”,Michael McKenna,Science Feedback,"Contrary to claim in Washington Times op-ed, COVID-19 shots meet the definition of a vaccine",Inaccurate,2022-01-05 00:00:00,false,2022-01
"“We have over 100,000 children, which we’ve never had before, in serious condition, and many on ventilators” due to the coronavirus.",Sonia Sotomayor,PolitiFact,Fact-checking Sotomayor on kids with severe COVID-19,False,2022-01-07 00:00:00,false,2022-01
Apple AirTag tracking devices were being used by stalkers and other criminals in late 2021/early 2022.,,Snopes,Were Apple AirTag Trackers Being Used by Stalkers?,Mixture,2022-01-21 08:45:00,false,2022-01
A French rugby player's death is connected to the COVID-19 vaccine,Social media,USA Today,Fact check: Jordan Michallet death unrelated to COVID-19 vaccine,False,2022-01-23 00:00:00,false,2022-01
"“The Manhattan DA is actually proposing to downgrade armed robbery to a misdemeanor, and to stop prosecuting resisting arrest.”",Tom Suozzi,PolitiFact,Tom Suozzi offers oversimplified critique of Manhattan DA’s prosecution policy,Half True,2022-01-21 00:00:00,false,2022-01
CDC director said over 75% of people who died from COVID had at least four comorbidities,Social media users,USA Today,Fact check: Deceptive edit of CDC director's interview goes viral,False,2022-01-10 00:00:00,false,2022-01
Couple founded Stanford University because Harvard refused son's memorial,Social media,USA Today,Fact check: False claim that Stanford founding was tied to Harvard rejection,False,2022-01-31 00:00:00,false,2022-01
Burt Reynolds once dumped horse manure from a helicopter onto the National Enquirer’s Christmas tree.,,Snopes.com,Did Burt Reynolds Dump Horse Manure from a Helicopter on National Enquirer's Christmas Tree?,True,2022-01-16 01:00:00,true,2022-01
"If you have “natural immunity,” getting vaccinated against COVID-19 “is more likely to harm you severely.”",Facebook posts,PolitiFact,"No, getting the COVID-19 vaccine after you’ve been infected with the virus isn’t more likely to harm",False,2022-01-04 00:00:00,false,2022-01
"On Dec. 28, 2021, three days before her death, Betty White said ""Eat healthy and get all your vaccines. I just got boosted today.""",,Snopes,Did Betty White Say She Got COVID Booster 3 Days Before She Died?,False,2022-01-02 03:44:00,false,2022-01
"In January 2022, Vice President Kamala Harris said the Jan. 6 U.S. Capitol attack was worse than Pearl Harbor and/or 9/11.",,Snopes,"Did Kamala Harris Say Jan. 6 Attack Was 'Worse Than' 9/11, Pearl Harbor?",Mostly False,2022-01-07 03:10:00,false,2022-01
Four players were forced out of the Australian Open due to chest pains,Social media,USA Today,Fact check: False claim that 4 athletes dropped out of Australian Open due to chest pain,False,2022-01-19 00:00:00,false,2022-01
A video shows a woman hanging by her hair in a train car.,,Snopes,Woman Hanging by Her Hair in Train Car Is an Acrobat,True,2022-01-25 02:16:00,true,2022-01
Video shows a Netherlands protest against COVID-19 laws,Social media claims,USA Today,"Fact check: Protest in Netherlands in response to gas extractions, not COVID-19 regulations",False,2022-01-16 00:00:00,false,2022-01
Image shows Barack Obama pointing at a satanic symbol,Social media,USA Today,"Fact check: No, Obama did not point to satanic symbol at art gallery",Altered,2022-01-07 17:44:08,false,2022-01
"Video shows China launching an 'artificial sun', setting new world record",Multiple sources,AFP Fact Check,This video corresponds with footage of China launching a rocket -- not an 'artificial sun',False,2022-01-11 00:00:00,false,2022-01
The Nuremberg Code says 'mandating masks on the citizens' is a war crime,Social media user,USA Today,Fact check: Nuremberg Code doesn't say mask mandates are a war crime,False,2022-01-03 00:00:00,false,2022-01
"Image shows Sylvester Stallone wearing T-shirt with message against COVID-19 vaccines, President Biden and Dr. Fauci",Social media users,USA Today,"Fact check: Altered image shows Sylvester Stallone with T-shirt message mocking Biden, Fauci",Altered,2022-01-12 00:00:00,false,2022-01
